code	value
M5R0V0_CCC	0.8
M5R0V0_CCC	0.8
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	0.8
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	0.75
M5R0V0_CCC	0.8
M5R0V0_CCC	1.0
M5R0V0_CCC	0.6
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	0.8
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	1.0
M5R0V0_CCC	0.8
M5R0V0_CCC	0.8
M5R0V0_CCC	1.0
M5R0V1_RNG	0.4
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	0.6
M5R0V1_RNG	1.0
M5R0V1_RNG	0.6
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	0.8
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V1_RNG	0.8
M5R0V1_RNG	1.0
M5R0V1_RNG	1.0
M5R0V2_OR	0.4
M5R0V2_OR	1.0
M5R0V2_OR	0.3333333333
M5R0V2_OR	0.6
M5R0V2_OR	1.0
M5R0V2_OR	0.75
M5R0V2_OR	0.75
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	0.8
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	0.6
M5R0V2_OR	1.0
M5R0V2_OR	0.4
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	0.4
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	1.0
M5R0V2_OR	0.8
M5R0V2_OR	1.0
