observation,string,abstract,node,accuracy
1,M0R0V0_CC_SEQ,A1,S2,0.8
2,M0R0V0_CC_SEQ,A1,S2,0.6
3,M0R0V0_CC_SEQ,A1,S2,0.6
4,M0R0V0_CC_SEQ,A1,S2,0.4
5,M0R0V0_CC_SEQ,A1,S2,0.6
6,M0R0V0_CC_SEQ,A1,S2,0.3333333333
7,M0R0V0_CC_SEQ,A1,S2,0.6
8,M0R0V0_CC_SEQ,A1,S2,1
9,M0R0V0_CC_SEQ,A1,S2,0.6
10,M0R0V0_CC_SEQ,A1,S2,0.4
11,M0R0V0_CC_SEQ,A1,S2,0.5
12,M0R0V0_CC_SEQ,A1,S2,0.4
13,M0R0V0_CC_SEQ,A1,S2,1
14,M0R0V0_CC_SEQ,A1,S2,1
15,M0R0V0_CC_SEQ,A1,S2,0.8
16,M0R0V0_CC_SEQ,A1,S2,0.6
17,M0R0V0_CC_SEQ,A1,S2,1
18,M0R0V0_CC_SEQ,A1,S2,1
19,M0R0V0_CC_SEQ,A1,S2,0.6
20,M0R0V0_CC_SEQ,A1,S2,0.6
21,M0R0V0_CC_SEQ,A1,S2,1
22,M0R0V0_CC_SEQ,A1,S2,0.6
23,M0R0V0_CC_SEQ,A1,S2,1
24,M0R0V0_CC_SEQ,A1,S2,0.6
25,M0R0V0_CC_SEQ,A1,S2,1
26,M0R0V0_CC_SEQ,A1,S2,1
27,M0R0V0_CC_SEQ,A1,S2,0.8
28,M0R0V0_CC_SEQ,A1,S2,0.8
29,M0R0V0_CC_SEQ,A1,S2,1
30,M0R0V0_CC_SEQ,A1,S2,0.8
1,M0R0V1_CC_SNG,A1,S1,0.4
2,M0R0V1_CC_SNG,A1,S1,1
3,M0R0V1_CC_SNG,A1,S1,1
4,M0R0V1_CC_SNG,A1,S1,0.6
5,M0R0V1_CC_SNG,A1,S1,1
6,M0R0V1_CC_SNG,A1,S1,1
7,M0R0V1_CC_SNG,A1,S1,0.4
8,M0R0V1_CC_SNG,A1,S1,1
9,M0R0V1_CC_SNG,A1,S1,1
10,M0R0V1_CC_SNG,A1,S1,1
11,M0R0V1_CC_SNG,A1,S1,1
12,M0R0V1_CC_SNG,A1,S1,1
13,M0R0V1_CC_SNG,A1,S1,0.4
14,M0R0V1_CC_SNG,A1,S1,0.8
15,M0R0V1_CC_SNG,A1,S1,0.2
16,M0R0V1_CC_SNG,A1,S1,0.6
17,M0R0V1_CC_SNG,A1,S1,1
18,M0R0V1_CC_SNG,A1,S1,1
19,M0R0V1_CC_SNG,A1,S1,1
20,M0R0V1_CC_SNG,A1,S1,0.6
21,M0R0V1_CC_SNG,A1,S1,0.3333333333
22,M0R0V1_CC_SNG,A1,S1,0.6
23,M0R0V1_CC_SNG,A1,S1,1
24,M0R0V1_CC_SNG,A1,S1,1
25,M0R0V1_CC_SNG,A1,S1,0.6
26,M0R0V1_CC_SNG,A1,S1,0.8
27,M0R0V1_CC_SNG,A1,S1,0.6
28,M0R0V1_CC_SNG,A1,S1,0.8
29,M0R0V1_CC_SNG,A1,S1,0.6
30,M0R0V1_CC_SNG,A1,S1,1
1,M0R1V0_CC_SEQ,A2,S2,1
2,M0R1V0_CC_SEQ,A2,S2,0.6
3,M0R1V0_CC_SEQ,A2,S2,1
4,M0R1V0_CC_SEQ,A2,S2,0.8
5,M0R1V0_CC_SEQ,A2,S2,1
6,M0R1V0_CC_SEQ,A2,S2,1
7,M0R1V0_CC_SEQ,A2,S2,0.25
8,M0R1V0_CC_SEQ,A2,S2,1
9,M0R1V0_CC_SEQ,A2,S2,1
10,M0R1V0_CC_SEQ,A2,S2,1
11,M0R1V0_CC_SEQ,A2,S2,1
12,M0R1V0_CC_SEQ,A2,S2,1
13,M0R1V0_CC_SEQ,A2,S2,1
14,M0R1V0_CC_SEQ,A2,S2,1
15,M0R1V0_CC_SEQ,A2,S2,NA
16,M0R1V0_CC_SEQ,A2,S2,1
17,M0R1V0_CC_SEQ,A2,S2,1
18,M0R1V0_CC_SEQ,A2,S2,1
19,M0R1V0_CC_SEQ,A2,S2,1
20,M0R1V0_CC_SEQ,A2,S2,1
21,M0R1V0_CC_SEQ,A2,S2,1
22,M0R1V0_CC_SEQ,A2,S2,1
23,M0R1V0_CC_SEQ,A2,S2,1
24,M0R1V0_CC_SEQ,A2,S2,1
25,M0R1V0_CC_SEQ,A2,S2,1
26,M0R1V0_CC_SEQ,A2,S2,1
27,M0R1V0_CC_SEQ,A2,S2,1
28,M0R1V0_CC_SEQ,A2,S2,1
29,M0R1V0_CC_SEQ,A2,S2,1
30,M0R1V0_CC_SEQ,A2,S2,1
1,M0R1V1_CC_SNG,A2,S1,1
2,M0R1V1_CC_SNG,A2,S1,0.8
3,M0R1V1_CC_SNG,A2,S1,0.8
4,M0R1V1_CC_SNG,A2,S1,0.8
5,M0R1V1_CC_SNG,A2,S1,1
6,M0R1V1_CC_SNG,A2,S1,1
7,M0R1V1_CC_SNG,A2,S1,0.25
8,M0R1V1_CC_SNG,A2,S1,1
9,M0R1V1_CC_SNG,A2,S1,0.8
10,M0R1V1_CC_SNG,A2,S1,1
11,M0R1V1_CC_SNG,A2,S1,0.8
12,M0R1V1_CC_SNG,A2,S1,1
13,M0R1V1_CC_SNG,A2,S1,1
14,M0R1V1_CC_SNG,A2,S1,1
15,M0R1V1_CC_SNG,A2,S1,1
